City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tralee,52.2704,-9.7026,13.65,93,98,2.77,IE,1692931791
1,bilibino,68.0546,166.4372,12.66,41,87,0.96,RU,1692931792
2,ormara,25.2088,64.6357,26.45,86,100,6.38,PK,1692931793
3,vorgashor,67.5833,63.95,6.56,97,100,6.15,RU,1692931794
4,tiksi,71.6872,128.8694,12.1,50,100,7.48,RU,1692931797
5,cabo san lucas,22.8909,-109.9124,31.61,66,0,2.06,MX,1692931557
6,santa ana maya,20.0,-101.0167,17.49,70,69,1.51,MX,1692931799
7,chonchi,-42.6128,-73.8092,3.4,94,42,1.04,CL,1692931800
8,tezu,27.9167,96.1667,23.92,98,100,0.64,IN,1692931801
9,waitangi,-43.9535,-176.5597,9.9,87,99,3.58,NZ,1692931803
10,queenstown,-31.8976,26.8753,13.79,24,100,3.87,ZA,1692931804
11,puerto natales,-51.7236,-72.4875,-0.56,84,100,1.94,CL,1692931577
12,fale old settlement,-9.3852,-171.2468,28.2,77,13,6.44,TK,1692931807
13,invercargill,-46.4,168.35,11.68,85,64,2.24,NZ,1692931808
14,quellon,-43.1167,-73.6167,5.14,87,100,2.06,CL,1692931576
15,kayangel,8.0823,134.7173,28.06,79,100,6.36,PW,1692931810
16,ust-nera,64.5667,143.2,11.12,58,91,2.07,RU,1692931811
17,longyearbyen,78.2186,15.6401,6.91,100,100,5.14,SJ,1692931813
18,hawaiian paradise park,19.5933,-154.9731,26.13,84,100,4.12,US,1692931814
19,olonkinbyen,70.9221,-8.7187,5.57,84,1,4.3,SJ,1692931815
20,el bauga,18.262,33.9081,34.58,29,3,4.07,SD,1692931816
21,irtyshsk,53.3333,75.4572,14.73,77,100,5.26,KZ,1692931818
22,ouadda,8.0777,22.4007,20.02,97,53,1.98,CF,1692931819
23,sinop,41.7711,34.8709,16.5,65,0,1.49,TR,1692931820
24,udachny,66.4167,112.4,23.03,46,36,7.41,RU,1692931821
25,walvis bay,-22.9575,14.5053,12.27,93,4,4.12,NA,1692931823
26,iqaluit,63.7506,-68.5145,3.85,93,100,2.68,CA,1692931824
27,blackmans bay,-43.0167,147.3167,13.07,79,82,3.69,AU,1692931825
28,faya-largeau,17.9257,19.1043,31.57,43,100,5.63,TD,1692931826
29,hadibu,12.65,54.0333,26.38,80,63,8.85,YE,1692931828
30,haiku-pauwela,20.9219,-156.3051,30.01,61,20,12.35,US,1692931829
31,wailua homesteads,22.0669,-159.378,30.44,73,0,7.2,US,1692931830
32,vung tau,10.346,107.0843,28.72,73,65,3.6,VN,1692931548
33,kone,-21.0595,164.8658,24.43,50,0,6.21,NC,1692931834
34,yellowknife,62.456,-114.3525,21.98,61,75,5.66,CA,1692931835
35,lerwick,60.1545,-1.1494,12.0,92,98,8.45,GB,1692931836
36,grytviken,-54.2811,-36.5092,-3.06,79,9,4.1,GS,1692931837
37,yulinshi,38.2906,109.7494,17.81,64,100,2.76,CN,1692931838
38,albany,42.6001,-73.9662,18.54,94,100,0.89,US,1692931840
39,taitung city,22.7583,121.1444,33.15,58,20,2.06,TW,1692931841
40,port-aux-francais,-49.35,70.2167,4.93,77,96,20.48,TF,1692931842
41,hithadhoo,-0.6,73.0833,28.22,71,43,4.61,MV,1692931843
42,hotan,37.0997,79.9269,25.4,30,100,0.91,CN,1692931844
43,katabu,-4.9333,122.5167,32.05,38,67,4.18,ID,1692931846
44,neiafu,-18.65,-173.9833,25.38,78,75,2.57,TO,1692931847
45,bairnsdale,-37.8333,147.6167,22.25,37,23,0.45,AU,1692931849
46,ushuaia,-54.8,-68.3,-3.19,86,100,12.86,AR,1692931850
47,metlili chaamba,32.2667,3.6333,29.52,20,0,1.54,DZ,1692931851
48,edinburgh of the seven seas,-37.0676,-12.3116,13.79,93,100,9.38,SH,1692931853
49,east london,-33.0153,27.9116,17.21,59,100,4.12,ZA,1692931855
50,chatillon-sur-seine,47.8585,4.5738,17.7,90,58,2.77,FR,1692931856
51,bayanhongor,46.7167,100.1167,8.47,79,100,0.48,MN,1692931857
52,puerto ayora,-0.7393,-90.3518,23.08,94,100,0.45,EC,1692931855
53,thompson,55.7435,-97.8558,12.09,82,100,2.06,CA,1692931860
54,st. john's,47.5649,-52.7093,15.08,96,100,1.54,CA,1692931861
55,grand falls-windsor,48.9332,-55.6649,9.57,88,9,2.44,CA,1692931712
56,whitehorse,60.7161,-135.0538,24.43,29,75,6.69,CA,1692931863
57,remire-montjoly,4.9167,-52.2667,25.02,94,0,0.0,GF,1692931864
58,gulf shores,30.246,-87.7008,30.6,72,0,0.89,US,1692931823
59,avarua,-21.2078,-159.775,26.03,73,75,5.66,CK,1692931867
60,benito juarez,19.385,-99.165,17.9,64,75,7.2,MX,1692931868
61,kargasok,59.0556,80.8572,13.83,91,100,3.19,RU,1692931869
62,labrador city,52.9463,-66.9114,11.95,76,100,3.09,CA,1692931870
63,constantia,44.1833,28.65,21.5,80,7,0.79,RO,1692931872
64,kalispell,48.1958,-114.3129,23.02,31,0,0.0,US,1692931873
65,forster,-32.1667,152.5167,19.65,58,0,3.8,AU,1692931874
66,adamstown,-25.066,-130.1015,18.91,58,90,7.99,PN,1692931875
67,bethel,41.3712,-73.414,20.92,87,100,2.06,US,1692931744
68,san patricio,28.017,-97.5169,30.4,58,100,3.07,US,1692931877
69,san luis de la loma,17.2706,-100.8939,26.51,84,29,0.54,MX,1692931879
70,albert,50.0009,2.651,19.29,85,100,3.09,FR,1692931880
71,kenai,60.5544,-151.2583,16.05,95,100,3.6,US,1692931881
72,kaya,13.0917,-1.0844,26.9,69,95,4.09,BF,1692931882
73,markovo,57.3206,107.0881,22.23,49,24,2.47,RU,1692931883
74,watertown,42.3709,-71.1828,19.65,77,100,6.17,US,1692931676
75,vilyuchinsk,52.9306,158.4028,16.15,97,100,0.72,RU,1692931886
76,happy valley-goose bay,53.3168,-60.3315,12.17,87,20,2.06,CA,1692931887
77,nar'yan-mar,67.6713,53.087,7.42,85,100,5.99,RU,1692931888
78,lompoc,34.6391,-120.4579,22.1,84,40,4.92,US,1692931890
79,salmon arm,50.6998,-119.3024,20.62,56,61,0.51,CA,1692931891
80,badger,64.8,-147.5333,19.95,79,100,2.06,US,1692931892
81,aasiaat,68.7098,-52.8699,3.76,90,100,4.32,GL,1692931893
82,sandnessjoen,66.0217,12.6316,10.29,87,56,3.81,NO,1692931896
83,bhimunipatnam,17.8833,83.4333,29.56,67,98,2.75,IN,1692931626
84,magadan,59.5667,150.8,11.41,91,100,5.78,RU,1692931898
85,ishigaki,24.3448,124.1572,32.07,74,40,3.09,JP,1692931899
86,sola,-13.8833,167.55,24.84,68,19,8.73,VU,1692931900
87,guna,24.65,77.3167,24.49,86,82,6.66,IN,1692931901
88,lebu,-37.6167,-73.65,6.75,83,41,1.84,CL,1692931903
89,igarka,67.4667,86.5833,10.52,96,100,4.43,RU,1692931904
90,luderitz,-26.6481,15.1594,11.13,89,6,3.36,NA,1692931905
91,wanning,18.8003,110.3967,32.74,58,63,2.79,CN,1692931906
92,lautoka,-17.6167,177.4667,25.92,50,40,5.14,FJ,1692931907
93,emporia,38.4039,-96.1817,31.11,42,0,3.6,US,1692931789
94,flying fish cove,-10.4217,105.6791,25.82,83,100,5.66,CX,1692931909
95,vrangel',42.7297,133.0839,20.4,99,100,4.84,RU,1692931911
96,tukrah,32.5341,20.5791,25.7,71,5,2.47,LY,1692931912
97,ribeira grande,38.5167,-28.7,21.54,82,41,6.71,PT,1692931913
98,khairpur nathan shah,27.0936,67.7337,32.28,49,46,0.72,PK,1692931914
99,buenavista del norte,28.3746,-16.861,25.86,79,80,1.17,ES,1692931915
100,port mathurin,-19.6833,63.4167,22.59,64,78,9.98,MU,1692931917
101,obudu,6.6674,9.1716,22.29,96,100,1.17,NG,1692931918
102,callao,-12.0667,-77.15,21.16,73,75,6.69,PE,1692931909
103,carloforte,39.145,8.3058,25.41,65,0,2.62,IT,1692931920
104,monywa,22.1167,95.1333,26.69,85,100,4.94,MM,1692931921
105,parauapebas,-6.0675,-49.9022,26.76,56,89,0.74,BR,1692931923
106,iquitos,-3.7481,-73.2472,23.02,83,100,7.72,PE,1692931924
107,tura,25.5198,90.2201,23.56,99,100,1.42,IN,1692931925
108,arraial do cabo,-22.9661,-42.0278,22.92,81,95,2.92,BR,1692931926
109,antofagasta,-23.65,-70.4,16.6,84,56,3.47,CL,1692931927
110,ilulissat,69.2167,-51.1,6.01,93,100,1.54,GL,1692931929
111,amos,48.5669,-78.1162,14.56,98,100,2.3,CA,1692931930
112,pullman,46.7313,-117.1796,25.34,31,0,2.06,US,1692931931
113,coquimbo,-29.9533,-71.3436,12.98,72,4,2.15,CL,1692931932
114,aleksandrovsk-sakhalinskiy,50.8975,142.1561,19.65,79,98,3.26,RU,1692931933
115,narayangarh,30.4833,77.1333,28.14,75,9,0.75,IN,1692931935
116,fortuna,40.5982,-124.1573,18.19,88,75,3.6,US,1692931936
117,marica,-22.9194,-42.8186,25.97,84,52,8.55,BR,1692931937
118,gunjur,13.2019,-16.7339,23.04,100,75,0.0,GM,1692931938
119,fisterra,42.9049,-9.2629,20.01,90,78,5.53,ES,1692931939
120,yamethin,20.4333,96.15,24.77,93,100,4.21,MM,1692931941
121,kolpashevo,58.3131,82.9089,17.66,91,100,1.85,RU,1692931942
122,garoowe,8.4054,48.4845,24.35,54,95,9.78,SO,1692931943
123,puerto baquerizo moreno,-0.9,-89.6,23.72,78,97,2.79,EC,1692931945
