City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,najran,17.4924,44.1277,26.61,18,98,2.19,SA,1693275044
1,bilibino,68.0546,166.4372,11.63,49,97,5.04,RU,1693275045
2,albany,42.6001,-73.9662,19.8,94,100,0.91,US,1693274978
3,ilulissat,69.2167,-51.1,6.01,93,75,3.09,GL,1693275047
4,susuman,62.7833,148.1667,16.7,50,14,1.12,RU,1693275049
5,chimbarongo,-34.7,-71.05,8.73,78,5,1.24,CL,1693274959
6,adamstown,-25.066,-130.1015,22.09,86,100,13.67,PN,1693275054
7,puerto natales,-51.7236,-72.4875,0.69,93,100,1.6,CL,1693275055
8,formosa,-26.1775,-58.1781,13.93,59,0,2.88,AR,1693275058
9,waitangi,-43.9535,-176.5597,10.46,82,43,6.26,NZ,1693275059
10,port-aux-francais,-49.35,70.2167,4.03,83,100,16.01,TF,1693275060
11,sinop,41.7711,34.8709,18.13,67,89,1.84,TR,1693275061
12,puerto ayora,-0.7393,-90.3518,24.75,89,30,2.24,EC,1693275062
13,kyzyl-suu,42.3414,78.0056,11.43,54,35,1.42,KG,1693275064
14,north bend,43.4065,-124.2243,18.98,72,0,4.63,US,1693275065
15,myanaung,18.2833,95.3167,27.45,84,98,2.15,MM,1693275066
16,bandrele,-12.9067,45.1914,25.86,78,75,9.26,YT,1693275067
17,ravar,31.2656,56.8055,26.37,27,0,1.88,IR,1693275069
18,vershino-darasunskiy,52.35,115.5167,15.71,52,99,0.95,RU,1693275071
19,grytviken,-54.2811,-36.5092,-0.88,95,100,2.61,GS,1693275072
20,kodiak,57.79,-152.4072,12.73,100,100,5.14,US,1693275073
21,aasiaat,68.7098,-52.8699,3.53,97,100,3.46,GL,1693275074
22,sitka,57.0531,-135.33,19.94,68,0,1.54,US,1693274788
23,port moresby,-9.4431,147.1797,26.91,69,99,7.61,PG,1693275077
24,uturoa,-16.7333,-151.4333,25.45,83,49,7.93,PF,1693275078
25,ribeira grande,38.5167,-28.7,23.76,94,100,4.47,PT,1693275079
26,luderitz,-26.6481,15.1594,23.25,36,0,3.04,NA,1693275081
27,antsiranana,-12.2787,49.2917,22.13,71,23,6.18,MG,1693275082
28,brookings,44.3114,-96.7984,21.88,81,0,2.57,US,1693275071
29,garh maharaja,30.8339,71.9053,29.17,49,0,3.49,PK,1693275084
30,castillos,-34.1667,-53.8333,8.23,92,100,1.37,UY,1693275086
31,kamyshlov,56.8428,62.7111,8.83,86,73,4.24,RU,1693275087
32,imbituba,-28.24,-48.6703,10.24,86,0,2.02,BR,1693275088
33,margate,51.3813,1.3862,14.27,79,98,0.89,GB,1693275090
34,hamilton,39.1834,-84.5333,21.47,71,0,4.12,US,1693274946
35,edinburgh of the seven seas,-37.0676,-12.3116,11.61,63,17,8.35,SH,1693275092
36,jamestown,42.097,-79.2353,18.9,89,75,3.09,US,1693275093
37,tiksi,71.6872,128.8694,8.03,85,98,2.23,RU,1693275095
38,atafu village,-8.5421,-172.5159,28.55,76,79,7.44,TK,1693275096
39,ondo,7.1,4.8333,22.22,97,96,0.84,NG,1693275097
40,talnakh,69.4865,88.3972,12.67,68,99,0.64,RU,1693275100
41,port lincoln,-34.7333,135.8667,21.02,37,100,10.42,AU,1693275102
42,cabo san lucas,22.8909,-109.9124,32.56,70,0,3.6,MX,1693274813
43,olonkinbyen,70.9221,-8.7187,4.71,85,100,4.98,SJ,1693275104
44,invercargill,-46.4,168.35,11.12,85,82,4.47,NZ,1693275064
45,igarka,67.4667,86.5833,12.28,78,100,4.98,RU,1693274861
46,tondano,1.3038,124.9112,28.05,59,97,4.07,ID,1693275108
47,college,64.8569,-147.8028,12.97,76,75,2.57,US,1693275109
48,gazojak,41.1875,61.4036,20.7,24,0,4.27,TM,1693275111
49,newman,37.3138,-121.0208,33.49,44,0,0.89,US,1693275113
50,saint-leu,-21.15,55.2833,20.48,91,61,0.91,RE,1693275115
51,bredasdorp,-34.5322,20.0403,13.44,53,0,2.69,ZA,1693275116
52,hadibu,12.65,54.0333,26.27,80,35,7.29,YE,1693275117
53,kill devil hills,36.0307,-75.676,27.21,97,0,0.0,US,1693275119
54,scappoose,45.7543,-122.8776,20.3,75,100,2.06,US,1693275079
55,ushuaia,-54.8,-68.3,0.7,92,95,1.55,AR,1693275121
56,san antonio de pale,-1.4014,5.6325,23.99,87,84,4.94,GQ,1693275124
57,ust-nera,64.5667,143.2,19.14,55,99,1.31,RU,1693275125
58,linton,39.0348,-87.1658,20.54,56,60,3.69,US,1693275126
59,broken hill,-31.95,141.4333,23.35,25,4,4.18,AU,1693275127
60,tofol,5.3248,163.0078,31.88,66,75,1.54,FM,1693275129
61,udachny,66.4167,112.4,19.23,63,24,1.76,RU,1693275130
62,queenstown,-31.8976,26.8753,9.98,31,0,2.17,ZA,1693274886
63,hithadhoo,-0.6,73.0833,27.85,75,39,3.16,MV,1693275132
64,yuzhno-kurilsk,44.0306,145.8556,17.11,82,96,7.17,RU,1693275134
65,belel,7.05,14.4333,16.13,94,100,0.96,CM,1693275135
66,lijiang,26.8688,100.2207,13.36,98,100,1.15,CN,1693275137
67,igrim,63.1906,64.4162,8.97,69,53,4.19,RU,1693275138
68,kununurra,-15.7667,128.7333,31.99,22,7,4.63,AU,1693274888
69,kargasok,59.0556,80.8572,15.71,93,100,4.45,RU,1693275140
70,oyon,-10.6681,-76.7731,9.49,77,9,1.32,PE,1693275142
71,badger,64.8,-147.5333,12.93,79,75,2.57,US,1693275144
72,bethel,41.3712,-73.414,21.12,85,0,0.0,US,1693274944
73,murashi,59.3999,48.9615,3.76,96,1,2.61,RU,1693275147
74,blackmans bay,-43.0167,147.3167,17.07,77,86,2.16,AU,1693275150
75,amahai,-3.3333,128.9167,25.65,84,92,5.97,ID,1693274895
76,happy valley-goose bay,53.3168,-60.3315,17.17,67,0,1.54,CA,1693275153
77,sarmiento,-45.5882,-69.07,6.4,56,12,4.82,AR,1693275154
78,san patricio,28.017,-97.5169,31.15,52,21,0.46,US,1693275156
79,georgetown,5.4112,100.3354,28.96,84,40,3.09,MY,1693274934
80,charlottetown,46.2352,-63.1267,17.29,87,40,3.09,CA,1693275158
81,puerto madryn,-42.7692,-65.0385,10.51,43,0,5.4,AR,1693275160
82,kismayo,-0.3582,42.5454,24.61,82,68,8.07,SO,1693275022
83,yellowknife,62.456,-114.3525,22.45,66,27,1.49,CA,1693275056
84,bikenibeu village,1.3673,173.1241,30.98,70,100,2.06,KI,1693275164
85,burang,30.25,81.1667,6.75,49,3,1.54,CN,1693275166
86,flying fish cove,-10.4217,105.6791,25.82,78,40,6.69,CX,1693274893
87,anadyr,64.75,177.4833,10.28,81,75,7.0,RU,1693275169
88,bambanglipuro,-7.95,110.2833,26.58,65,16,4.3,ID,1693275170
89,dunedin,-45.8742,170.5036,15.04,55,53,4.52,NZ,1693275121
90,west island,-12.1568,96.8225,25.99,73,99,5.66,CC,1693275172
91,gadzhiyevo,69.2551,33.3362,9.59,82,100,2.25,RU,1693275173
92,khandyga,62.6667,135.6,22.84,56,12,1.44,RU,1693275175
93,tadine,-21.55,167.8833,21.49,73,97,7.28,NC,1693275176
94,cova figueira,14.8905,-24.2934,24.68,83,36,3.95,CV,1693275177
95,koudougou,12.25,-2.3667,24.86,76,94,3.34,BF,1693275178
96,sisimiut,66.9395,-53.6735,5.44,97,100,4.77,GL,1693275179
97,darwin,-12.4611,130.8418,31.05,37,0,7.2,AU,1693275181
98,avarua,-21.2078,-159.775,23.03,56,75,3.6,CK,1693275182
99,papao,-17.75,-149.55,25.82,94,98,8.91,PF,1693275183
100,xinyu,27.8043,114.9334,21.93,92,100,1.2,CN,1693275184
101,tazovsky,67.4667,78.7,10.13,70,15,2.94,RU,1693275186
102,kijang,35.2442,129.2139,27.21,86,92,6.5,KR,1693275043
103,wanning,18.8003,110.3967,28.54,85,99,1.5,CN,1693275189
104,pisco,-13.7,-76.2167,19.03,82,0,5.66,PE,1693275191
105,guatire,10.4762,-66.5427,25.09,83,3,1.31,VE,1693275193
106,kiama,-34.6833,150.8667,24.03,60,4,5.81,AU,1693275194
107,pamandzi,-12.7967,45.2794,25.88,78,75,8.75,YT,1693275196
108,dashitou,43.3067,128.5114,15.43,97,100,5.06,CN,1693275197
109,thinadhoo,0.5333,72.9333,27.89,73,58,2.74,MV,1693275198
110,xinzhou,38.4092,112.7333,21.87,58,0,0.34,CN,1693275200
111,papatowai,-46.5619,169.4708,11.46,74,86,4.63,NZ,1693275201
112,margaret river,-33.95,115.0667,14.61,59,83,4.25,AU,1693275204
113,alofi,-19.0595,-169.9187,24.94,53,20,6.69,NU,1693275205
114,longyearbyen,78.2186,15.6401,7.91,76,75,4.12,SJ,1693275206
115,smithers,54.7804,-127.1743,27.14,37,0,0.49,CA,1693275016
116,colonia,50.9333,6.95,15.48,86,0,0.51,DE,1693274942
117,stanley,54.868,-1.6985,12.09,86,75,2.06,GB,1693275210
118,selfoss,63.9331,-20.9971,9.47,87,0,3.38,IS,1693275214
119,klyuchi,52.2667,79.1667,16.49,61,8,4.51,RU,1693275216
120,puerto baquerizo moreno,-0.9,-89.6,23.69,81,81,5.52,EC,1693275217
121,palma sola,-23.9634,-64.2987,11.0,35,46,1.7,AR,1693275218
122,labrador city,52.9463,-66.9114,13.63,63,100,2.77,CA,1693275010
123,ulanhot,46.0833,122.0833,18.66,71,100,8.36,CN,1693275220
124,kapa'a,22.0752,-159.319,30.18,68,40,5.66,US,1693275221
125,vilyuchinsk,52.9306,158.4028,18.15,73,58,3.22,RU,1693275223
126,nadi,-17.8,177.4167,26.0,65,75,4.63,FJ,1693275224
127,bandon,51.7469,-8.7425,12.77,98,74,1.99,IE,1693275225
128,emerald,-23.5333,148.1667,24.63,43,4,2.35,AU,1693275226
129,levokumskoye,44.8219,44.6606,22.3,57,96,4.57,RU,1693275228
130,vila franca do campo,37.7167,-25.4333,22.23,87,31,3.37,PT,1693275229
131,chanika,-5.4167,38.0167,16.36,96,16,1.04,TZ,1693275230
132,mount isa,-20.7333,139.5,26.87,22,0,3.6,AU,1693275231
133,floro,61.5996,5.0328,12.2,94,100,3.09,NO,1693275232
134,derzhavinsk,51.1,66.3167,12.82,83,100,10.86,KZ,1693275234
135,hawaiian paradise park,19.5933,-154.9731,25.73,85,100,1.54,US,1693275235
136,dudinka,69.4058,86.1778,11.27,78,100,1.37,RU,1693275236
137,puerto carreno,6.189,-67.4859,25.55,90,100,1.88,CO,1693275237
138,assab,13.0092,42.7394,33.29,61,100,1.3,ER,1693275239
139,vila velha,-20.3297,-40.2925,19.97,99,75,1.54,BR,1693275221
140,kasaragod,12.5,75.0,25.42,88,100,1.89,IN,1693275242
141,indramayu,-6.3264,108.32,28.08,59,13,5.61,ID,1693275243
142,zhosaly,45.4878,64.0781,19.82,25,100,9.76,KZ,1693275245
143,afaahiti,-17.75,-149.2833,24.93,92,100,8.45,PF,1693275246
144,kalabo,-14.97,22.6814,15.51,67,0,2.95,ZM,1693275247
145,qaqortoq,60.7167,-46.0333,8.6,58,100,0.54,GL,1693275248
146,poronaysk,49.2167,143.1167,19.74,59,7,0.66,RU,1693275250
147,brisas de zicatela,15.8369,-97.0419,28.29,61,100,0.0,MX,1693275251
148,saipan,15.1355,145.701,25.39,94,100,2.57,MP,1693275252
149,fort st. john,56.2499,-120.8529,24.94,47,0,2.57,CA,1693275253
150,morehead city,34.7229,-76.726,29.0,87,0,1.34,US,1693275067
151,vadso,70.0744,29.7487,9.49,100,75,5.14,NO,1693275256
152,jiangzi,28.95,89.6333,9.35,53,6,1.1,CN,1693275257
153,whitehorse,60.7161,-135.0538,27.43,38,75,4.63,CA,1693275258
154,hays,30.0502,-98.0336,31.92,46,0,1.34,US,1693275260
155,bulayevo,54.9056,70.4439,10.91,87,99,4.56,KZ,1693275261
156,punta arenas,-53.15,-70.9167,5.09,76,100,5.01,CL,1693275129
157,tabou,4.423,-7.3528,24.18,89,100,3.28,CI,1693275265
158,andovoranto,-18.95,49.1,18.67,92,42,3.19,MG,1693275266
159,petropavlovsk-kamchatsky,53.0452,158.6483,19.33,52,75,5.0,RU,1693275009
160,haiku-pauwela,20.9219,-156.3051,28.01,60,40,8.75,US,1693275268
161,tocopilla,-22.092,-70.1979,19.72,65,10,3.42,CL,1693275088
162,graaff-reinet,-32.2522,24.5308,14.92,24,0,4.07,ZA,1693275271
163,port douglas,-16.4833,145.4667,23.77,61,100,5.32,AU,1693275272
164,as sulayyil,20.4607,45.5779,32.14,17,100,3.36,SA,1693275275
165,kerikeri,-35.2268,173.9474,13.67,55,8,2.49,NZ,1693275077
166,yurimaguas,-5.9,-76.0833,23.33,90,99,0.34,PE,1693275279
167,mayahi,13.9553,7.6712,28.59,51,2,3.81,NE,1693275281
168,taghazout,30.5426,-9.7112,20.43,78,0,2.56,MA,1693275282
169,puerto deseado,-47.7503,-65.8938,7.26,57,0,4.4,AR,1693275088
170,sur,22.5667,59.5289,28.82,64,30,3.29,OM,1693275285
171,daru,-9.0763,143.2092,25.26,81,90,6.96,PG,1693275018
172,peace river,56.2501,-117.286,21.17,77,0,3.09,CA,1693275287
173,iqaluit,63.7506,-68.5145,5.85,70,75,3.6,CA,1693275289
174,constantia,44.1833,28.65,23.38,56,0,1.81,RO,1693275290
175,freetown,8.484,-13.2299,24.51,91,100,3.71,SL,1693275291
176,mwinilunga,-11.7358,24.4293,14.76,68,54,3.52,ZM,1693275292
177,ain sefra,32.75,-0.5833,23.83,20,34,1.74,DZ,1693275293
178,seydi,39.4816,62.9137,18.95,23,0,3.67,TM,1693275294
179,kapuskasing,49.4169,-82.4331,15.05,94,100,3.09,CA,1693275296
180,holualoa,19.6228,-155.9522,27.91,97,40,6.69,US,1693275297
181,fort bragg,35.139,-79.006,27.17,90,75,3.09,US,1693275298
182,belogorsk,50.9158,128.4611,20.58,66,83,1.84,RU,1693275299
183,port mathurin,-19.6833,63.4167,22.56,74,25,9.26,MU,1693275300
184,moab,38.5733,-109.5498,31.03,18,0,0.78,US,1693275302
185,lerwick,60.1545,-1.1494,13.0,93,100,5.4,GB,1693275303
186,pacific grove,36.6177,-121.9166,22.67,77,0,6.17,US,1693275304
187,martapura,-3.4167,114.85,31.05,51,0,2.06,ID,1693275306
188,utrik,11.2278,169.8474,28.41,77,67,6.25,MH,1693275307
189,coahuayana de hidalgo,18.7,-103.6583,26.43,92,97,1.52,MX,1693275308
190,wicklow,53.0,-6.4167,11.36,98,49,1.31,IE,1693275310
191,ozernyy,55.5802,32.4127,14.08,99,98,2.27,RU,1693275311
192,palikir - national government center,6.9248,158.1611,30.47,70,100,3.6,FM,1693275312
193,ola,59.5833,151.2833,20.08,55,38,0.33,RU,1693275313
